,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Thu Mar 20 15:10:47 2025,20,30208.0,846.9604614807104,0.5291826091075932,1.2458881599152907
1,Thu Mar 20 15:10:47 2025,7,76672.0,1331.4112549695428,0.5435283585012871,1.046520919791159
2,Thu Mar 20 15:10:47 2025,19,39424.0,839.2447327281724,0.7033853226251531,1.0799921387940459
4,Thu Mar 20 15:10:47 2025,2,92480.0,1335.5777772109132,0.651507345731455,1.0814393745083262
6,Thu Mar 20 15:10:47 2025,1,36032.0,810.2741699796952,0.6896587387672827,1.1577693430455527
10,Thu Mar 20 15:10:47 2025,16,37120.0,838.6761902332486,0.6631766157461085,1.2217954982764345
13,Thu Mar 20 15:10:47 2025,10,34816.0,931.1757569573599,0.5045746369558215,1.1273385202758919
14,Thu Mar 20 15:10:47 2025,9,19904.0,607.5290039756343,0.6776667764761148,1.0320647046333469
15,Thu Mar 20 15:10:47 2025,11,19392.0,561.4213562373095,0.7731337079061386,1.015406923481472
16,Thu Mar 20 15:10:47 2025,4,47552.0,1102.7737367038067,0.49136681511775643,1.2126649231281035
17,Thu Mar 20 15:10:47 2025,14,49984.0,1014.3919189857866,0.6104207811025479,1.0314539954067425
19,Thu Mar 20 15:10:47 2025,12,19264.0,582.9604614807104,0.7123249117885626,1.0274683064906804
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 14:53:24 2025,4,94272.0,1356.3616151824865,0.6439343656069598,1.1444289828920917
1,Sun Mar 23 14:53:24 2025,13,52800.0,998.7737367038067,0.6651346286250289,1.0599580196000213
2,Sun Mar 23 14:53:24 2025,15,23936.0,679.0092347159896,0.6523941806933724,1.19942479699935
3,Sun Mar 23 14:53:24 2025,6,17792.0,574.1564209736036,0.6782256053177331,1.1026040244162794
7,Sun Mar 23 14:53:24 2025,3,10880.0,838.2051942088829,0.19459786173603705,1.535749167922299
17,Sun Mar 23 14:53:24 2025,1,23616.0,761.2346314604057,0.5121287164838589,1.4256510206662207
21,Sun Mar 23 14:53:24 2025,2,24576.0,725.6366517139589,0.5865197502420079,1.446391896237618
22,Sun Mar 23 14:53:24 2025,5,39424.0,899.4600282048218,0.6123599992413916,1.0425300120336263
26,Sun Mar 23 14:53:24 2025,7,25152.0,675.9797974644666,0.6916955075588256,1.2859317416354485
28,Sun Mar 23 14:53:24 2025,8,46656.0,930.891485709898,0.6765801470953463,1.2495806750504048
31,Sun Mar 23 14:53:24 2025,20,36544.0,779.9797974644666,0.7548475298556299,1.4220495011457848
33,Sun Mar 23 14:53:24 2025,14,12864.0,732.2640687119285,0.30147440499564876,1.4734793538388875
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 14:57:49 2025,4,97728.0,1361.3321779309638,0.6626751039289599,1.1413865049602352
5,Sun Mar 23 14:57:49 2025,6,16768.0,522.842712474619,0.7708129655801664,1.084438344472432
8,Sun Mar 23 14:57:49 2025,15,24704.0,666.0386719675123,0.6998069484176435,1.1840932089584757
9,Sun Mar 23 14:57:49 2025,13,47744.0,933.1168824543142,0.6890592569713169,1.088825500735208
14,Sun Mar 23 14:57:49 2025,3,24640.0,972.0285706997456,0.3277121226301537,1.5711977626459088
15,Sun Mar 23 14:57:49 2025,1,25792.0,809.2346314604056,0.4949324893845938,1.3414614742835829
18,Sun Mar 23 14:57:49 2025,10,8640.0,696.6660889654818,0.22370426491357853,1.2793159184581522
20,Sun Mar 23 14:57:49 2025,5,35136.0,900.8326112068523,0.5440940578510103,1.132585487634814
24,Sun Mar 23 14:57:49 2025,7,25856.0,648.9503602129438,0.771521880868829,1.2653380154696372
25,Sun Mar 23 14:57:49 2025,8,41664.0,884.8326112068523,0.6687265800030137,1.3529323809680158
27,Sun Mar 23 14:57:49 2025,20,42752.0,854.4894654563448,0.7357882948720876,1.4219242305272293
29,Sun Mar 23 14:57:49 2025,2,19136.0,751.2935059634514,0.42603154443273694,1.7144057994987523
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 14:59:38 2025,4,98816.0,1348.0773439350246,0.6832938536373848,1.1445824863481322
1,Sun Mar 23 14:59:38 2025,17,11840.0,635.6955262170047,0.3681825966630424,1.1898602684395263
6,Sun Mar 23 14:59:38 2025,13,45120.0,921.5189027078675,0.6676832152395414,1.103812058402807
7,Sun Mar 23 14:59:38 2025,15,24896.0,677.3523804664972,0.6818833977088543,1.1685447453394657
8,Sun Mar 23 14:59:38 2025,6,15808.0,498.55844122715706,0.7991984697174022,1.0776195916171518
11,Sun Mar 23 14:59:38 2025,3,26816.0,893.1168824543142,0.42246162311026647,1.5585002975273263
14,Sun Mar 23 14:59:38 2025,1,26368.0,746.6072144624361,0.5944326965910555,1.3368069376153076
16,Sun Mar 23 14:59:38 2025,10,16000.0,661.920922961421,0.4588995464272305,1.2254293964669751
20,Sun Mar 23 14:59:38 2025,5,32192.0,810.6072144624361,0.6156542668144601,1.187239540306276
23,Sun Mar 23 14:59:38 2025,7,25984.0,651.9797974644666,0.7681527579790619,1.260491977510367
24,Sun Mar 23 14:59:38 2025,8,38784.0,865.5189027078676,0.6505929424280446,1.4162945170399523
27,Sun Mar 23 14:59:38 2025,20,44928.0,859.7442994522837,0.7638152768458046,1.4456214547437851
30,Sun Mar 23 14:59:38 2025,2,15040.0,893.1168824543142,0.23694148312866975,1.9760544045873374
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 15:01:49 2025,4,93312.0,1342.018469431979,0.651074035645305,1.1842046768284802
4,Sun Mar 23 15:01:49 2025,17,37824.0,813.636651713959,0.717986553855822,1.071242385818976
6,Sun Mar 23 15:01:49 2025,9,15424.0,566.4406922210657,0.6040849151093919,1.3534746816507848
9,Sun Mar 23 15:01:49 2025,3,42240.0,921.5189027078675,0.62506513767106,1.1158820284305524
11,Sun Mar 23 15:01:49 2025,15,20032.0,594.842712474619,0.7114262487984314,1.0924726098434552
15,Sun Mar 23 15:01:49 2025,1,23424.0,676.2640687119285,0.6436329915789339,1.1586384082488947
18,Sun Mar 23 15:01:49 2025,10,40320.0,839.8620484583752,0.718314236104701,1.0874331790667766
20,Sun Mar 23 15:01:49 2025,7,25088.0,656.6660889654818,0.7311167373890579,1.2471078533590014
21,Sun Mar 23 15:01:49 2025,20,50240.0,936.1463197058371,0.7203972166155069,1.4616840248796004
23,Sun Mar 23 15:01:49 2025,13,18176.0,711.0092347159896,0.4518119309770439,1.4130247983949606
25,Sun Mar 23 15:01:49 2025,8,15104.0,533.8721497261419,0.665928051367171,1.5701589178715105
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 15:06:10 2025,4,97024.0,1280.76363543604,0.7432776309939412,1.1623568144934353
1,Sun Mar 23 15:06:10 2025,17,32320.0,717.920922961421,0.7880032253419963,1.1264207170095744
4,Sun Mar 23 15:06:10 2025,9,13376.0,492.7838379715733,0.6921866402255757,1.3150742692680404
6,Sun Mar 23 15:06:10 2025,15,22464.0,630.1564209736038,0.7108864277599508,1.1344550763256547
11,Sun Mar 23 15:06:10 2025,3,38336.0,931.4600282048218,0.5552495496017757,1.209894888901494
14,Sun Mar 23 15:06:10 2025,1,25408.0,760.430590953299,0.5521552243210275,1.2346837222617424
16,Sun Mar 23 15:06:10 2025,13,25984.0,730.0386719675123,0.6126665065099813,1.3893649511744832
18,Sun Mar 23 15:06:10 2025,10,37184.0,892.8326112068523,0.5861730953197596,1.1338322765758446
20,Sun Mar 23 15:06:10 2025,7,26048.0,627.4112549695428,0.8315332829493419,1.216292633437324
21,Sun Mar 23 15:06:10 2025,20,50432.0,921.8031739553294,0.745829671821005,1.464997338438365
23,Sun Mar 23 15:06:10 2025,8,20480.0,598.1564209736036,0.7193003608514468,1.3730656839341941
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 15:11:19 2025,4,98816.0,1348.0773439350246,0.6832938536373848,1.1445824863481322
